Property_Name,Building_Name,Street_No_From,Street_name,Latitude,Longitude,PLN_AREA_N,PLN_AREA_C,REGION_N
Delta House ,Delta House ,2,Alexandra Road,1.291127,103.825253,BUKIT MERAH,BM,Central
MBC 20W,MBC 20W,20,Pasir Panjang Road,1.274812,103.799106,QUEENSTOWN,QT,Central
Kong Beng Industrial Building,Kong Beng Industrial Building,41,Jalan Pemimpin,1.349915,103.841766,BISHAN,BS,Central
Henderson Industrial Park Block 203,Henderson Industrial Park Block 203,203,Henderson Road,1.281611,103.821243,BUKIT MERAH,BM,Central
Henderson Industrial Park Block 219,Henderson Industrial Park Block 219,219,Henderson Road,1.280343,103.819929,BUKIT MERAH,BM,Central
Ching Shine Industrial Building,20 Shaw Road,20,Shaw Road,1.33645,103.884087,TOA PAYOH,TP,Central
CES Building,CES Building,69,Ubi Crescent,1.327523,103.897971,GEYLANG,GL,Central
Cintech IV,Cintech IV,79,Science Park Drive,1.289518,103.790486,QUEENSTOWN,QT,Central
Aztech Building,Aztech Building,31,Ubi Road 1,1.3268575,103.8925586,GEYLANG,GL,Central
Kallang Distripark,Kallang Distrikpark,1775,Geylang Bahru,1.318695,103.870419,KALLANG,KL,Central
Mountbatten Square,Mountbatten Square,229,Mountbatten Road,1.307511,103.881322,GEYLANG,GL,Central
Yellow Pages Building,Yellow Pages Building,1,Lorong 2 Toa Payoh,1.340363,103.847329,TOA PAYOH,TP,Central
Gordon Industrial Building,Gordon Industrial Building,113,Eunos Avenue 7,1.3193451,103.8968745,GEYLANG,GL,Central
Harbourside Building 1,Harbourside Building 1,1,Boon Leat Terrace,1.275297,103.796304,QUEENSTOWN,QT,Central
745 Lorong 5 Toa Payoh,745 Lorong 5 Toa Payoh,745,Toa Payoh,1.3331943,103.8528656,TOA PAYOH,TP,Central
Utraco Greentech Building,Utraco Greentech Building,8,Commonwealth Lane,1.305251,103.797634,QUEENSTOWN,QT,Central
Clarus Centre - Block A,Clarus Centre - Block A,37A,Jalan Pemimpin,1.3488434,103.8409075,BISHAN,BS,Central
Pico Creative Centre Extension Block,Pico Creative Centre Extension Block,20,Kallang Avenue ,1.3097972,103.8650533,KALLANG,KL,Central
63@Ubi,63@Ubi,63,Ubi Avenue 1,1.324808,103.893909,GEYLANG,GL,Central
Henson Warehouse,145,135,Ubi Avenue 4,1.335661,103.895196,GEYLANG,GL,Central
Henson Warehouse,135,135,Ubi Avenue 4,1.335661,103.895196,GEYLANG,GL,Central
Citi,Citi,3,Changi Business Park,1.33399,103.96605,TAMPINES,TM,East
25 Harper Road,25 Harper Road,25,Harper Road,1.334373,103.887062,TOA PAYOH,TP,Central
1557 Keppel Road Block B,1557 Keppel Road Block B,1557,Keppel Road,1.2731583,103.8406002,BUKIT MERAH,BM,Central
L & Y Building,L & Y Building,59,Jalan Pemimpin,1.351176,103.842385,BISHAN,BS,Central
454 Joo Chiat Road,454 Joo Chiat Road,454,Joo Chiat Road,1.306352,103.904491,MARINE PARADE,MP,Central
458 Joo Chiat Road,458 Joo Chiat Road,458A,Joo Chiat Road,1.306284,103.904533,MARINE PARADE,MP,Central
991A Alexandra Road,991A Alexandra Road,991A,Alexandra Road,1.274317,103.803698,BUKIT MERAH,BM,Central
991C Alexandra Road,991C Alexandra Road,991C,Alexandra Road,1.273707,103.804277,BUKIT MERAH,BM,Central
10 Ubi Techpark,60 Ubi Techpark,60,Ubi Crescent,1.326514,103.895093,GEYLANG,GL,Central
D'Lithium,D'Lithium,82,Playfair Road,1.337291,103.88539,TOA PAYOH,TP,Central
Tides @ East Coast,Tides @ East Coast,217,East Coast Road,1.307554,103.906955,MARINE PARADE,MP,Central
991 Alexandra Road Block 2,991 Alexandra Road Block 2,991,Alexandra Road,1.2744197,103.8029117,BUKIT MERAH,BM,Central
991D Alexandra Road,991D Alexandra Road,991D,Alexandra Road,1.273097,103.803609,BUKIT MERAH,BM,Central
10 Raeburn Park Block C,10 Raeburn Park Block C,10,Raeburn Road,1.2740198,103.8341234,BUKIT MERAH,BM,Central
80 Bendemeer Road,80 Bendemeer Road,80,Bendemeer Road,1.31705,103.863217,KALLANG,KL,Central
Depot Road Project - High Tech Block,Depot Road Project - High Tech Block,,,1.2798038,103.8165912,BUKIT MERAH,BM,Central
84 Genting Lane,84 Genting Lane,84,Genting Lane,1.324543,103.877307,GEYLANG,GL,Central
34 Boon Leat Terrace,34 Boon Leat Terrace,34,Boon Leat Terrace,1.276014,103.797199,QUEENSTOWN,QT,Central
Utraco Greentech Building - Annex Block,Utraco Greentech Building - Annex Block,8,Commonwealth Lane,1.3053072,103.7976652,QUEENSTOWN,QT,Central
One Tannery,One Tannery,1,Tannery Road,1.330465,103.878106,GEYLANG,GL,Central
223@Mountbatten,223@Mountbatten,223,Mountbatten Road,1.308391,103.878998,GEYLANG,GL,Central
Inno Centre,Inno Centre,1003,Bukit Merah Central ,1.283464,103.814086,BUKIT MERAH,BM,Central
1557 Keppel Road Block A,1557 Keppel Road Block A,1557,Keppel Road,1.2731583,103.8406002,BUKIT MERAH,BM,Central
978 Toa Payoh North,978 Toa Payoh North,978,Toa Payoh North,1.343111,103.851474,TOA PAYOH,TP,Central
988 Toa Payoh North,988 Toa Payoh North,988,Toa Payoh North,1.342757,103.849996,TOA PAYOH,TP,Central
The Galen,The Galen,61,Science Park Road,1.286618,103.784112,QUEENSTOWN,QT,Central
Evershine & Century Complex,Evershine & Century Complex,45,Beach Road,1.296307,103.855907,DOWNTOWN CORE,DT,Central
991E Alexandra Road,991E Alexandra Road,991E,Alexandra Road,1.273206,103.802902,BUKIT MERAH,BM,Central
991G Alexandra Road,991G Alexandra Road,991G ,Alexandra Road,1.273706,103.802705,BUKIT MERAH,BM,Central
Paya Lebar Square,Paya Lebar Square,60,Paya Lebar Road,1.318877,103.892554,GEYLANG,GL,Central
Eagle Centre,Eagle Centre,166,Bukit Merah Central ,1.283086,103.81766,BUKIT MERAH,BM,Central
163 Kallang Way,163 Kallang Way,163,Kallang Way,1.321714558,103.8752871,GEYLANG,GL,Central
166 Bukit Merah Central,166 Bukit Merah Central,166,Bukit Merah Central ,1.283086,103.81766,BUKIT MERAH,BM,Central
HSR Building,HSR Building,3,Lorong 6 Toa Payoh,1.337396,103.854585,TOA PAYOH,TP,Central
Aztech - Main Building,Aztech - Main Building,31,Ubi Road 1,1.3268575,103.8925586,GEYLANG,GL,Central
Aztech - Annex Block,Aztech - Annex Block,31,Ubi Road 1,1.3268575,103.8925586,GEYLANG,GL,Central
Framework Building,Framework Building,2,Aljunied Road,1.3197,103.889,GEYLANG,GL,Central
Aperia Tower 2,Aperia Tower 2,10,Kallang Avenue ,1.310817,103.863704,KALLANG,KL,Central
Aperia Tower 1,Aperia Tower 1,8,Kallang Avenue ,1.310871,103.863904,KALLANG,KL,Central
GB Point,GB Point,535,Kallang Bahru Road,1.3212765,103.870757,KALLANG,KL,Central
Crystal Time Building,Crystal Time Building,16,Tannery Lane,1.328574,103.875769,GEYLANG,GL,Central
45 Ubi Road,45 Ubi Road,45,Ubi Road 1,1.329634,103.89155,GEYLANG,GL,Central
55 Ubi Avenue 3,55 Ubi Avenue 3,55,Ubi Avenue 3,1.333656,103.897064,GEYLANG,GL,Central
21 Ubi Road 1,21 Ubi Road 1,21,Ubi Road 1,1.326406,103.892996,GEYLANG,GL,Central
UOB Centre,UOB Centre,148,Upper Bukit Timah Road,1.342576,103.776106,BUKIT TIMAH,BT,Central
WestWay,WestWay,27,West Coast Road Highway,1.2831068,103.7804923,QUEENSTOWN,QT,Central
MBC 80,MBC 80,80,Pasir Panjang Road,1.27591,103.800703,QUEENSTOWN,QT,Central
MBC 70,MBC 70,70,Pasir Panjang Road,1.276197,103.799988,QUEENSTOWN,QT,Central
MBC 60,MBC 60,60,Pasir Panjang Road,1.276408,103.799502,QUEENSTOWN,QT,Central
MBC 50,MBC 50,50,Pasir Panjang Road,1.276387,103.798903,QUEENSTOWN,QT,Central
ARC 380,ARC 380,380,Jalan Besar,1.313204,103.860401,KALLANG,KL,Central
81 Playfair Road,81 Playfair Road,81,Playfair Road,1.335311,103.886169,TOA PAYOH,TP,Central
716 Geylang Road,716 Geylang Road,716,Geylang Road,1.31477,103.891418,GEYLANG,GL,Central
718 Geylang Road,718 Geylang Road,718,Geylang Road,1.314775,103.891488,GEYLANG,GL,Central
722 Geylang Road,722 Geylang Road,722,Geylang Road,1.314815,103.891577,GEYLANG,GL,Central
728 Geylang Road,728 Geylang Road,728,Geylang Road,1.314843,103.891708,GEYLANG,GL,Central
25 Lorong 8 Toa Payoh,25 Lorong 8 Toa Payoh,25,Lorong 8 Toa Payoh,1.338763,103.860812,TOA PAYOH,TP,Central
102 Guillemard Road,102 Guillemard Road,102,Guillemard Road,1.309956,103.88244,GEYLANG,GL,Central
Richfield Industrial Centre,Richfield Industrial Centre,122,Eunos Avenue 7,1.323379,103.896257,GEYLANG,GL,Central
Townerville,Townerville,55,McNair Road,1.3201264,103.8580093,KALLANG,KL,Central
Townerville,Townerville,67,McNair Road,1.3191148,103.8575691,KALLANG,KL,Central
135 Joo Seng Road,135 Joo Seng Road,135,Joo Seng Road,1.338054,103.88281,TOA PAYOH,TP,Central
1 Kallang Way 2A,1 Kallang Way 2A,1,Kallang Way 2A,1.322903,103.877253,GEYLANG,GL,Central
1 Kay Siang Road,1 Kay Siang Road,1,Kay Siang Road,1.296198,103.815606,QUEENSTOWN,QT,Central
Elite Building (Formerly CPA House),Elite Building (Formerly CPA House),20,Aljunied Road,1.314337,103.882156,GEYLANG,GL,Central
8 Commonwealth Lane,8 Commonwealth Lane,8,Commonwealth Lane,1.305251,103.797634,QUEENSTOWN,QT,Central
27 Ubi Road 4,27 Ubi Road 4,27,Ubi Road 4,1.330686,103.899183,GEYLANG,GL,Central
UBIX,UBIX,25,Ubi Road 4,1.33083,103.899541,GEYLANG,GL,Central
